Entry Time,Exit Time,Entry Price,Exit Price,PnL,Return [%],Duration,Status
2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,30760.432529999995,30862.551005000005,40.07727953995322,0.21,0 days 01:00:00,Closed
2023-07-06 06:00:00+00:00,2023-07-06 08:00:00+00:00,30597.79125,30787.798400000003,94.93579301882227,0.5,0 days 02:00:00,Closed
2023-07-10 13:00:00+00:00,2023-07-10 18:00:00+00:00,30176.540729999997,30263.050905,31.734597023458523,0.17,0 days 05:00:00,Closed
2023-07-14 11:00:00+00:00,2023-07-14 17:00:00+00:00,31190.587499999998,31198.383005000003,-18.140237096492832,-0.1,0 days 06:00:00,Closed
2023-07-15 00:00:00+00:00,2023-07-15 09:00:00+00:00,30327.156,30301.041900000004,-39.30001486540469,-0.21,0 days 09:00:00,Closed
2023-07-16 14:00:00+00:00,2023-07-16 18:00:00+00:00,30319.081964999994,30366.739035000002,7.0595534446208354,0.04,0 days 04:00:00,Closed
2023-07-19 03:00:00+00:00,2023-07-20 11:00:00+00:00,30039.001994999995,30279.8525,129.72337265362427,0.68,1 days 08:00:00,Closed
2023-07-25 13:00:00+00:00,2023-07-26 20:00:00+00:00,29132.569005,29387.229035,144.46763981558024,0.75,1 days 07:00:00,Closed
2023-07-28 14:00:00+00:00,2023-07-28 17:00:00+00:00,29308.06671,29346.719300000004,2.2799843025529185,0.01,0 days 03:00:00,Closed
2023-07-29 00:00:00+00:00,2023-07-30 00:00:00+00:00,29328.797069999997,29338.223550000002,-16.97510913121743,-0.09,1 days 00:00:00,Closed
2023-07-31 00:00:00+00:00,2023-07-31 13:00:00+00:00,29295.730545000002,29457.763750000002,83.52147057015961,0.43,0 days 13:00:00,Closed
2023-08-03 14:00:00+00:00,2023-08-04 18:00:00+00:00,29210.137769999998,29185.409995,-39.658499747366825,-0.2,1 days 04:00:00,Closed
2023-08-05 01:00:00+00:00,2023-08-07 15:00:00+00:00,29133.029234999995,29009.488,-105.19039959138469,-0.54,2 days 14:00:00,Closed
2023-08-07 22:00:00+00:00,2023-08-08 06:00:00+00:00,29211.01821,29234.505435000003,-7.626613251947022,-0.04,0 days 08:00:00,Closed
2023-08-13 19:00:00+00:00,2023-08-13 21:00:00+00:00,29436.841065000004,29405.299995,-43.669773851681995,-0.23,0 days 02:00:00,Closed
2023-08-14 04:00:00+00:00,2023-08-14 15:00:00+00:00,29414.609955,29519.223005000003,45.17327802109786,0.24,0 days 11:00:00,Closed
2023-08-19 16:00:00+00:00,2023-08-21 10:00:00+00:00,26229.118004999997,26014.995995,-179.986691295396,-0.94,1 days 18:00:00,Closed
2023-08-21 17:00:00+00:00,2023-08-22 19:00:00+00:00,26028.427709999996,25892.6472,-122.19176542750964,-0.64,1 days 02:00:00,Closed
2023-08-23 02:00:00+00:00,2023-08-23 12:00:00+00:00,26062.434705,25926.520255000003,-121.37701024124304,-0.64,0 days 10:00:00,Closed
2023-08-25 13:00:00+00:00,2023-08-25 14:00:00+00:00,26121.75435,26055.295835000004,-70.3951378591098,-0.37,0 days 01:00:00,Closed
2023-08-25 21:00:00+00:00,2023-08-27 15:00:00+00:00,26073.87042,26132.197365000004,19.40647489020274,0.1,1 days 18:00:00,Closed
