timestamp,sum_open_interest,sum_open_interest_value
1695200100000,92171.294,2504616790.532455
1695200400000,92273.068,2507366530.932764
1695200700000,92273.372,2506004925.648502
1695201000000,92102.001,2497958541.7989564
1695201300000,92140.323,2498318020.2973466
1695201600000,92235.345,2499411825.879
1695201900000,92351.864,2502769290.4873357
1695202200000,92311.906,2499730490.642054
1695202500000,92342.42,2499368386.5975494
1695202800000,92271.696,2496252199.831832
1695203100000,92314.697,2498729132.8109775
1695203400000,92057.022,2484456077.118669
1695203700000,92018.555,2485961849.058559
1695204000000,91940.383,2486196672.8562
1695204300000,92221.557,2489856845.871812
1695204600000,92322.603,2489728260.9231
1695204900000,92394.082,2492156801.0205364
1695205200000,92578.968,2496011174.953564
1695205500000,92508.195,2497286940.719225
1695205800000,92441.506,2497335017.0418
1695206100000,92453.128,2497408610.7256
1695206400000,92311.592,2493802407.1932497
1695206700000,92356.217,2496213068.6977
1695207000000,92301.806,2495047038.7084
1695207300000,92212.478,2494546466.1612253
1695207600000,92069.511,2492238800.2101
1695207900000,92077.627,2491155766.2740984
1695208200000,92012.494,2490612590.0908
1695208500000,92012.481,2491513960.518
1695208800000,92048.127,2492284375.5204873
1695209100000,91819.67,2486446790.423871
1695209400000,91811.349,2487307161.4335
1695209700000,91787.973,2484970895.220007
1695210000000,91760.222,2484738347.4492
1695210300000,91742.177,2486212123.4686017
1695210600000,91729.646,2485855060.6708
1695210900000,91717.85,2484077077.615
1695211200000,91752.116,2485142762.7064
1695211500000,91709.833,2484632541.535997
1695211800000,91733.836,2487061894.2020216
1695212100000,91699.296,2483787353.8375573
1695212400000,91657.82,2485109307.878
1695212700000,91770.874,2487036570.837
1695213000000,91664.834,2482008710.218
1695213300000,91631.228,2479779270.8728
1695213600000,91626.274,2477207943.864
1695213900000,91861.77,2481590599.488
1695214200000,91907.798,2482650202.6952
1695214500000,91898.306,2484545377.152443
1695214800000,91913.069,2486827568.7847
1695215100000,91810.926,2485809693.9682226
1695215400000,91808.309,2486644301.689658
1695215700000,91771.436,2485833293.4707856
1695216000000,91807.36,2487520419.2
1695216300000,91798.206,2481189300.7300467
1695216600000,92029.731,2488171025.1546
1695216900000,91972.352,2487695768.6016
1695217200000,91981.896,2489940726.5304
1695217500000,91956.491,2490664685.1184454
1695217800000,91557.681,2486203048.7145
1695218100000,91505.596,2485379369.002846
1695218400000,91636.788,2487627229.1208
1695218700000,91442.8,2486924110.2
1695219000000,91630.549,2490712265.429148
1695219300000,91388.515,2476171813.925
1695219600000,91409.496,2474389340.826347
1695219900000,91394.444,2480016156.76654
1695220200000,91478.738,2484568685.49135
1695220500000,91417.165,2483365570.658
1695220800000,91485.515,2483612167.014
1695221100000,91490.771,2483681662.1828
1695221400000,91368.649,2476775652.7675
1695221700000,91410.333,2478827896.564666
1695222000000,91411.342,2478185675.6573358
1695222300000,91385.965,2476239800.6225
1695222600000,91106.787,2473665160.5562835
1695222900000,90924.474,2466164515.349627
1695223200000,90889.573,2467797330.2668
1695223500000,90871.479,2464498120.5153
1695223800000,90911.814,2463837435.9396
1695224100000,90952.441,2466184532.9591
1695224400000,90861.853,2464041649.754818
1695224700000,91146.506,2475520873.6588
1695225000000,91157.551,2477373391.3657293
1695225300000,91156.761,2476289872.203509
1695225600000,91175.372,2477116329.2564
1695225900000,91143.677,2476697180.9610734
1695226200000,91084.407,2474041216.3404956
1695226500000,91057.822,2474351726.460603
1695226800000,91047.969,2474031543.443668
1695227100000,91078.912,2472628518.7584
1695227400000,91047.513,2471648625.9084
1695227700000,91060.379,2471651867.197
1695228000000,90855.125,2469085342.8566985
1695228300000,90885.047,2468510584.5576
1695228600000,90945.531,2471663074.1994
1695228900000,90886.34,2466769756.0900292
1695229200000,90277.732,2450959173.8412
1695229500000,90349.577,2453876441.4046
1695229800000,90297.84,2454701631.48
1695230100000,90261.89,2455503349.059669
1695230400000,90302.75,2460965613.3796434
1695230700000,90215.762,2456936062.308
1695231000000,90296.334,2459875811.6292434
1695231300000,90299.221,2459811090.1618943
1695231600000,90093.416,2449749064.2011743
1695231900000,89918.363,2444457673.6639
1695232200000,89963.408,2445359193.710336
1695232500000,89928.18,2445021309.312741
1695232800000,89845.219,2443458089.7878456
1695233100000,90344.741,2452984448.0000453
1695233400000,90584.463,2460554826.9153
1695233700000,90703.629,2464108174.7990637
1695234000000,90900.201,2470658373.1599
1695234300000,90872.941,2470826178.4959
1695234600000,90912.57,2469149036.172
1695234900000,91445.751,2493239043.8462925
1695235200000,91176.932,2477775775.861241
1695235500000,91297.365,2479492934.174629
1695235800000,91295.148,2476554350.2812
1695236100000,91329.975,2478640723.515
1695236400000,91375.24,2481148441.816
1695236700000,91299.478,2477772410.9190655
1695237000000,91253.066,2473968749.3979616
1695237300000,91200.367,2470567006.4581337
1695237600000,89254.926,2394679569.1595616
1695237900000,89641.546,2410831335.868337
1695238200000,90200.548,2428920356.544
1695238500000,90520.31,2434226916.365
1695238800000,90582.339,2438775487.5987
1695239100000,90554.929,2434343954.7210836
1695239400000,90593.616,2437566188.2656
1695239700000,90633.331,2437347790.5844
1695240000000,90517.295,2436462349.8113513
1695240300000,90532.614,2441130457.1574
1695240600000,90787.409,2447828278.9398
1695240900000,90864.854,2451533760.92
1695241200000,90832.93,2451183920.316497
1695241500000,90791.081,2448317685.7865
1695241800000,90849.488,2450792422.095764
1695242100000,90805.154,2447979824.6244
1695242400000,90896.157,2453196381.273
1695242700000,90878.7,2453452263.9
1695243000000,90401.552,2443794192.3535705
1695243300000,90375.2,2445552912
1695243600000,90426.961,2449033105.698164
1695243900000,90402.048,2446985077.894433
1695244200000,90397.011,2447019968.6667
1695244500000,90319.825,2446764059.25
1695244800000,89621.64,2439805141.263606
1695245100000,89576.648,2436216095.656
1695245400000,89747.856,2438731090.470899
1695245700000,89796.757,2439346863.2564
1695246000000,89806.436,2438916023.73236
1695246300000,89736.558,2435836051.3194
1695246600000,89707.089,2433690838.160615
1695246900000,89623.765,2430193199.8575
1695247200000,89654.783,2429680481.2132
1695247500000,89782.526,2431750616.4456406
1695247800000,89828.005,2430539210.8885
1695248100000,89908.271,2432152769.9496737
1695248400000,89883.819,2431168547.9301
1695248700000,89956.785,2433717848.4255
1695249000000,89987.657,2436429641.3785925
1695249300000,89927.16,2431639227.661776
1695249600000,90004.76,2435942827.496
1695249900000,89917.497,2436331080.0875063
1695250200000,89706.246,2430978469.4243374
1695250500000,89644.925,2427835574.79
1695250800000,89558.733,2425392761.7243714
1695251100000,89874.211,2434099206.1974
1695251400000,90324.328,2445151639.593779
1695251700000,90371.548,2447008479.5056
1695252000000,90326.534,2449754961.2674
1695252300000,90323.123,2449487860.072368
1695252600000,90291.306,2450231111.4510665
1695252900000,90310.317,2450949755.1264
1695253200000,90314.198,2449754557.9104
1695253500000,90347.068,2450661752.1649394
1695253800000,90338.158,2451696303.7778
1695254100000,90339.583,2449639098.6697
1695254400000,90357.451,2449659105.2213306
1695254700000,90402.249,2449132528.7835
1695255000000,90427.689,2450065891.3038
1695255300000,90462.919,2451545104.9
1695255600000,90471.104,2450427946.0608
1695255900000,90502.883,2451485894.40291
1695256200000,90567.758,2453073009.309
1695256500000,90567.629,2453631034.5793
1695256800000,90523.231,2454605222.567975
1695257100000,90504.322,2455065490.733
1695257400000,90487.212,2454194163.864
1695257700000,90274.822,2441639800.881444
1695258000000,90392.746,2443702331.350381
1695258300000,90563.399,2447380763.2544436
1695258600000,90538.628,2445556988.6336
1695258900000,90650.588,2447021972.472
1695259200000,90808.897,2451529260.2315125
1695259500000,90699.662,2447612272.558511
1695259800000,90745.198,2447260365.8264694
1695260100000,90793.158,2450714528.8962774
1695260400000,90777.355,2449390931.151039
1695260700000,90786.523,2450680516.6241665
1695261000000,90808.57,2452765630.3979526
1695261300000,90839.651,2453595466.2307687
1695261600000,90845.641,2454431583.6132464
1695261900000,90793.378,2455324575.1185594
1695262200000,90811.349,2455629688.309
1695262500000,90841.463,2455735437.5716
1695262800000,90916.36,2454414421.104
1695263100000,90741.965,2445486882.5535
1695263400000,90851.852,2448720699.900837
1695263700000,90881.674,2449133792.403722
1695264000000,90860.271,2448264811.8959765
1695264300000,90906.455,2448208302.518339
1695264600000,90892.253,2449837940.199054
1695264900000,90894.728,2449886518.3403935
1695265200000,90858.074,2449406365.801551
1695265500000,90915.567,2452276735.2295346
1695265800000,91004.774,2455229488.192877
1695266100000,90942.623,2453736713.122017
1695266400000,90921.579,2450922720.4736724
1695266700000,90882.246,2450667028.0638
1695267000000,90901.698,2452627803.9078
1695267300000,90942.472,2453127710.964
1695267600000,90944.212,2455624682.665803
1695267900000,90962.635,2457095935.085395
1695268200000,90941.168,2455430076.387813
1695268500000,90935.743,2455782250.8998566
1695268800000,90906.67,2456925479.423
1695269100000,90957.352,2455661358.915356
1695269400000,90944.524,2455856831.6436
1695269700000,91206.15,2464098313.32
1695270000000,91389.803,2471098022.2973
1695270300000,91393.033,2469349928.5454473
1695270600000,91409.157,2469573761.2069187
1695270900000,91556.328,2474849946.5352
1695271200000,91610.892,2479397179.3094788
1695271500000,91804.961,2485825914.03341
1695271800000,91806.426,2484972359.991065
1695272100000,91835.146,2487751802.2254567
1695272400000,91859.661,2487440202.3207
1695272700000,91818.131,2485470897.1045
1695273000000,91867.718,2484626740.7126
1695273300000,91891.217,2485398175.882711
1695273600000,91927.112,2485705152.246894
1695273900000,91964.547,2486427064.3296
1695274200000,91944.274,2485170976.3734
1695274500000,91982.491,2487296631.9264793
1695274800000,92047.229,2488947867.4371
1695275100000,92082.159,2493115246.7091
1695275400000,92058.513,2491271158.8210297
1695275700000,92062.336,2490806184.86344
1695276000000,92024.126,2490117278.529562
1695276300000,91944.534,2486023893.6522
1695276600000,91969.293,2485129856.9409
1695276900000,92059.183,2487871802.8201
1695277200000,92068.528,2487515161.7668614
1695277500000,92114.621,2487905375.6648
1695277800000,92148.754,2487909504.2630224
1695278100000,92214.446,2491413016.2496
1695278400000,92213.416,2491385188.1216
1695278700000,92240.04,2492399672.832
1695279000000,92161.906,2492680109.063413
1695279300000,92180.099,2493639272.005722
1695279600000,92241.701,2496115774.0806
1695279900000,92217.402,2493695577.8772516
1695280200000,92150.798,2489739475.4438
1695280500000,92162.834,2489069306.6882
1695280800000,92251.925,2492197283.0002856
1695281100000,92279.599,2492185902.2331
1695281400000,92257.518,2492668975.8348
1695281700000,92345.938,2494670107.5072
1695282000000,92367.513,2494135296.2799
1695282300000,92423.81,2494427382.177386
1695282600000,92372.11,2492532067.396
1695282900000,92496.309,2495445329.4934855
1695283200000,92492.812,2495339822.929843
1695283500000,92372.17,2491462169.24
1695283800000,92310.601,2489199242.443548
1695284100000,92140.415,2488380903.656
1695284400000,92126.018,2486029808.3318
1695284700000,92209.15,2486105274.931909
1695285000000,92333.816,2489245812.3072
1695285300000,92397.998,2489008030.3242
1695285600000,92417.976,2491237444.6512
1695285900000,92446.924,2493108646.432
1695286200000,92395.061,2493058184.703399
1695286500000,92374.188,2490790774.8139887
1695286800000,92455.564,2488635661.7444
1695287100000,92935.148,2500605185.5428104
1695287400000,93161.263,2507311207.8042216
1695287700000,93245.318,2510154636.0282
1695288000000,93319.008,2507096752.3430047
1695288300000,93190.369,2504309955.64254
1695288600000,93185.236,2498670425.281075
1695288900000,93405.359,2505682819.9981
1695289200000,93035.517,2488253509.2684
1695289500000,93213.77,2497187576.923
1695289800000,93506.267,2499598122.878176
1695290100000,93576.066,2501400535.4592
1695290400000,93830.234,2508879711.809
1695290700000,93754.214,2508165980.169758
1695291000000,93871.703,2510757744.283266
1695291300000,93862.49,2509820499.92199
1695291600000,93789.936,2506273427.7792
1695291900000,93929.495,2512219487.371
1695292200000,93991.905,2514791015.037
1695292500000,94185.667,2515725694.8779054
1695292800000,94204.768,2518875348.2144
1695293100000,94226.869,2523162514.328926
1695293400000,94296.294,2522849056.422939
1695293700000,94359.568,2517824660.8144
1695294000000,94085.352,2506565496.7728
1695294300000,93706.992,2503747748.5488
1695294600000,93786.771,2506717503.8248315
1695294900000,93743.536,2506805270.5296
1695295200000,93301.1,2496846875.79806
1695295500000,93361.264,2496150383.7666554
1695295800000,93409.53,2496816613.6475883
1695296100000,93501.101,2499405981.1613
1695296400000,93620.729,2499336429.6756
1695296700000,93715.597,2503584059.1759
1695297000000,93765.956,2506467146.4316
1695297300000,93872.698,2509218534.680968
1695297600000,93908.105,2509478117.4835
1695297900000,93823.053,2510114208.0993233
1695298200000,93865.564,2507271239.6732
1695298500000,93843.526,2505760996.6970553
1695298800000,93739.315,2501545742.7821245
1695299100000,93538.853,2495700783.0077
1695299400000,93399.736,2492362976.810564
1695299700000,93719.963,2496216863.5072694
1695300000000,94099.537,2502473677.0243
1695300300000,94245.872,2510037913.227368
1695300600000,93951.356,2504130345.153157
1695300900000,94088.072,2507136628.1624
1695301200000,94240.411,2509796823.847057
1695301500000,94261.449,2506657008.6774
1695301800000,94289.755,2507269073.86777
1695302100000,94469.729,2510369470.7340164
1695302400000,94307.155,2505279003.2905
1695302700000,94206.888,2498839675.9878488
1695303000000,94232.57,2501544919.505
1695303300000,94011.741,2487353242.2039
1695303600000,94233.279,2490059346.7007213
1695303900000,94619.527,2499470117.2025785
1695304200000,95158.581,2516573348.9841
1695304500000,95297.49,2517654858.561
1695304800000,95461.137,2521418078.5764565
1695305100000,95815.552,2534541726.1696
1695305400000,95627.669,2534776133.843683
1695305700000,95643.704,2534118194.9616
1695306000000,95767.064,2539369045.7304
1695306300000,95650.46,2537104015.434988
1695306600000,95596.452,2534290621.4556
1695306900000,95407.44,2531617338.912
1695307200000,95224.918,2529584413.7879734
1695307500000,95321.565,2530211846.5564413
1695307800000,95357.147,2532475863.9499855
1695308100000,95498.303,2537122515.4616
1695308400000,95519.333,2537929573.9434
1695308700000,95442.16,2535230096.08
1695309000000,95307.579,2531919499.816473
1695309300000,95307.017,2533154653.169646
1695309600000,95266.64,2529662725.24
1695309900000,95217.044,2531078988.508444
1695310200000,95204.861,2527840339.524797
1695310500000,95263.314,2527588969.3913393
1695310800000,95232.481,2527509909.254689
1695311100000,95190.906,2530640716.9194
1695311400000,94943.588,2527570302.3484216
1695311700000,94967.961,2527013216.0646224
1695312000000,94992.183,2523841496.1180906
1695312300000,94881.286,2520368880.36965
1695312600000,94745.281,2516022530.7579584
1695312900000,94660.667,2513231242.7833
1695313200000,94693.279,2515347039.4049
1695313500000,94798.568,2518170945.1761136
1695313800000,94834.234,2518180832.519
1695314100000,94807.049,2518862119.9467
1695314400000,94799.121,2517798213.3305836
1695314700000,94760.711,2515623762.796559
1695315000000,94860.819,2519731018.6056
